frame,read,detect,crop,infer,e2e_ms,output
396,0.9428,7.809,0.5569,2.2505,11.5592,0.837593
397,0.9675,7.6952,0.5755,2.2464,11.4847,0.911059
398,0.9731,7.7715,0.5669,2.2919,11.6034,0.877482
399,0.8981,7.764,0.5692,2.2658,11.4971,0.832618
400,0.9408,7.7568,0.56,2.2219,11.4795,0.758739
401,0.9991,7.7427,0.5695,2.2261,11.5375,0.793734
402,0.9834,7.8015,0.5619,2.2345,11.5813,0.79511
403,0.943,7.6939,0.5905,2.2285,11.4559,0.844602
404,0.9333,7.8671,0.5914,2.2347,11.6265,0.866866
405,0.9729,7.7418,0.5591,2.2696,11.5433,0.855693
406,0.9528,7.78,0.5606,2.2788,11.5723,0.816811
407,0.8918,8.6215,0.5693,2.2475,12.33,0.857485
408,0.9329,7.8627,0.5683,2.2581,11.6219,0.828452
409,0.962,7.6938,0.5689,2.259,11.4837,0.820945
410,0.9661,7.7929,0.5675,2.2649,11.5914,0.867421
411,0.8971,7.8226,0.5656,2.2504,11.5357,0.841452
412,0.9227,7.8556,0.5608,2.2603,11.5994,0.835091
413,0.9795,7.6436,0.5502,2.2135,11.3868,0.833575
414,0.99,7.7986,0.5583,2.2432,11.5901,0.851675
415,0.9305,7.66,0.5864,2.2247,11.4015,0.861046
416,0.9345,7.8156,0.5584,2.2581,11.5666,0.838229
417,0.9742,8.0341,0.5646,2.2851,11.8581,0.750767
418,0.9671,7.7861,0.5644,2.264,11.5815,0.823434
419,0.894,7.755,0.5671,2.2679,11.484,0.746319
420,0.936,7.8885,0.5663,2.2593,11.6502,0.681805
421,0.9482,7.7525,0.5678,2.256,11.5245,0.643807
422,0.9594,7.8693,0.5608,2.281,11.6705,0.693998
423,0.8955,7.7255,0.5733,2.2452,11.4394,0.580409
424,0.9878,7.7852,0.5696,2.232,11.5745,0.474109
425,1.0091,7.7777,0.5655,2.2412,11.5935,0.512905
426,0.9857,7.7212,0.592,2.2402,11.539,0.509364
427,0.9088,8.2997,0.5925,2.2358,12.0367,0.519073
428,0.9362,7.8515,0.5872,2.242,11.6169,0.573694
429,0.9613,7.7607,0.57,2.2707,11.5626,0.580471
430,0.9636,7.758,0.5555,2.2476,11.5247,0.564813
431,0.9096,7.7302,0.573,2.2638,11.4766,0.621799
432,0.9408,7.869,0.572,2.2691,11.6509,0.4163
433,0.9668,7.7497,0.5658,2.2886,11.571,0.411391
434,0.9594,7.7304,0.5649,2.2763,11.5311,0.322304
435,0.9146,7.8041,0.5791,2.2499,11.5476,0.118521
436,0.9714,7.7931,0.5703,2.249,11.5837,0.122402
437,1.0158,7.7251,0.5614,2.2212,11.5234,0.199122
438,0.9736,7.8228,0.5903,2.2408,11.6274,0.252743
439,0.9028,7.7618,0.5651,2.2505,11.4801,0.327397
440,0.9445,7.8252,0.564,2.2613,11.595,0.316238
441,0.9703,7.7494,0.5549,2.262,11.5365,0.257961
442,0.9665,7.7788,0.5609,2.2573,11.5635,0.316734
443,0.8973,7.7042,0.5675,2.2878,11.4569,0.376931
444,0.9355,8.1129,0.555,2.2852,11.8886,0.311539
445,0.9698,7.8185,0.5717,2.2671,11.627,0.293522
446,0.9583,7.7751,0.5683,2.2514,11.553,0.278596
